,,6.12.15 Agreement Payment Obligation Management,,,,,Involves tracking Vendor Supplier Agreements and ensuring the organization is fulfilling  its payment obligations per the scope of the Agreement.,L3,,,,
,,6.12.16 Manage Expense Reimbursement ,,,,,,L3,,,,
,,,6.12.16.1 Manage Expense Limits,,,,,L4,,,,
,,,,6.12.16.1.1 Set Expense Limits,,,,L5,,,,
,,,,6.12.16.1.2 Update Expense Limits,,,,L5,,,,
,,,,6.12.16.1.3 Delete Expense Limits,,,,L5,,,,
,,,,6.12.16.1.4 Override Expense Limits,,,,L5,,,,
,,,6.12.16.2 Create Expense,,,,,L4,,,,
,,,6.12.16.3 Update Expense,,,,,L4,,,,
,,,6.12.16.4 Delete Expense,,,,,L4,,,,
,,,6.12.16.5 Approve Expense,,,,,L4,,,,
,,,6.12.16.6 Reject Expense,,,,,L4,,,,
,,,6.12.16.7 Expense Report Management,,,,,L4,,,,
,6.13 Manage Credit Card & Electronic Funds Processing,,,,,,Capability to manage and process electronic funds including electronic transaction types as well as their authorization and authentication,L2,,,,
,,6.13.1 Account Verification/Authorization,,,,,Request made to a financial clearinghouse which verifies that the account is in the current format and is in good standing (usually a real-time operation). Authorization processes an amount for future settlement (specified amount is removed from accounts ,L3,,,,
,,6.13.2 Settlement & Deposit Processing,,,,,Requests made to financial clearinghouses for subsequent settlement against a specific account (usually a batch operation).  ,L3,,,,
,,6.13.3 Declines Processing,,,,,Capability by which accounts who have failed settlements are identified.  Corrective action like reprocessing or write-offs are determined based off such factors as # of declines and decline type (soft decline vs. hard decline),L3,,,,
,,6.13.4 Partner\Customer Refund Processing,,,,,Capability by which a refund is processed back to the account through a financial clearinghouse - either account initiated (cancellation) or system initiated (overcharge).,L3,,,,
,,6.13.5 Electronic Funds Payment Release,,,,,Capability for approving and releasing payments to customers in the form of electronic funds.,L3,,,,
,6.14 Administer Payroll,,,,,,"Ability to manage the regular payment of salary to employees and managing various deductions for tax, stock purchase, benefits etc. Also includes the management of bank account information related to pay roll",L2,,,,
,,6.14.1 Manage Payroll Bank Accounts,,,,,,L3,,,,
,,6.14.2 Produce Payment Notification/Stubs,,,,,,L3,,,,
,,6.14.3 Manage Payroll Taxes,,,,,,L3,,,,
,,6.14.4 Manage Benefits and other Deductions,,,,,,L3,,,,
,,6.14.5 Management Employee Stock Exercising,,,,,,L3,,,,
,,6.14.6 Process Payroll,,,,,,L3,,,,
,,6.14.7 Perform Payroll Accounting,,,,,,L3,,,,
,,6.14.8 Manage Claims & Overpayments,,,,,,L3,,,,
,,6.14.9 Perform Garnishments,,,,,,L3,,,,
,6.15 Manage Microsoft Financing ,,,,,,,L2,,,,
,,6.15.1 Lending Operations,,,,,,L3,,,,
,,,6.15.1.1 Loan Request Analysis,,,,,L4,,,,
,,,6.15.1.2 Financial Analysis And Underwriting,,,,,L4,,,,
,,,6.15.1.3 Compliance Check,,,,,L4,,,,
,,,6.15.1.4 Pre-payment Security Perfection,,,,,L4,,,,
,,,6.15.1.5 Monitoring,,,,,L4,,,,
,,6.15.2 Payment And Account Operations,,,,,,L3,,,,
,,,6.15.2.1 Account Opening,,,,,L4,,,,
,,,6.15.2.2 Transaction Processing,,,,,L4,,,,
,,,6.15.2.3 Check Order/Payment Management,,,,,L4,,,,
,,,6.15.2.4 Monitoring & Communications,,,,,L4,,,,
,,6.15.3 Customer Based Operations,,,,,,L3,,,,
,,,6.15.3.1 Standards Generation,,,,,L4,,,,
,,,6.15.3.2 Statement Operations,,,,,L4,,,,
,,,6.15.3.3 Credit Limit Increase/Decrease Operation,,,,,L4,,,,
,,,6.15.3.4 Client Segmentation,,,,,L4,,,,
,,6.15.4 Financial Portfolio & Risk Management,,,,,,L3,,,,
,,,6.15.4.1 Credit Portfolio Management,,,,,L4,,,,
,,,,6.15.4.1.1 Risk Tolerance/Establishment,,,,L5,,,,
,,,,6.15.4.1.2 Monitoring,,,,L5,,,,
,,,,6.15.4.1.3 Reporting,,,,L5,,,,
,,,,6.15.4.1.4 Execution & Communication,,,,L5,,,,
,,,,6.15.4.1.5 Secondary Market Activities Management,,,,L5,,,,
,,,6.15.4.2 Market Risk Management,,,,,L4,,,,
,,,,6.15.4.2.1 Risk Tolerance/Establishment,,,,L5,,,,
,,,,6.15.4.2.2 Modeling,,,,L5,,,,
,,,,6.15.4.2.3 Strategy Formation & Execution,,,,L5,,,,
,,,,6.15.4.2.4 Risk Reporting,,,,L5,,,,
,,,6.15.4.3 Interest Rate Risk Management,,,,,L4,,,,
,,,,6.15.4.3.1 Risk Tolerance/Establishment,,,,L5,,,,
,,,,6.15.4.3.2 Data Collection,,,,L5,,,,
,,,,6.15.4.3.3 Modeling,,,,L5,,,,
,,,,6.15.4.3.4 Strategy Formation & Execution,,,,L5,,,,
,,,6.15.4.4 Liquidity Management,,,,,L4,,,,
,,,,6.15.4.4.1 Risk Tolerance/Establishment,,,,L5,,,,
,,,,6.15.4.4.2 Data Collection,,,,L5,,,,
,,,,6.15.4.4.3 Strategy Formation & Execution,,,,L5,,,,
,,,,6.15.4.4.4 Contingency Plan Maintenance,,,,L5,,,,
,,,,6.15.4.4.5 Execution & Communication,,,,L5,,,,
,,,6.15.4.5 Operational Risk Management,,,,,L4,,,,
,,,,6.15.4.5.1 Standards Establishment,,,,L5,,,,
,,,,6.15.4.5.2 Execution ,,,,L5,,,,
,,,,6.15.4.5.3 Monitoring,,,,L5,,,,
,,,,6.15.4.5.4 Reporting,,,,L5,,,,
,6.16 Manage Costs,,,,,,,L2,,,,
,,6.16.1 Determine Responsibility,,,,,,L3,,,,
,,6.16.2 Contain Costs,,,,,,L3,,,,
,6.17 Manage Facilities,,,,,,,L2,,,,
,,6.17.1 Facilities Resource Management,,,,,,L3,,,,
7.0 Manage Human Resources ,,,,,,,"Capabilities related to planning, managing and running the Human Resources operations in an enterprise. ",L1,,,,
,7.1 HR Framework and Operating Model,,,,,,"The capability to define what talents are required, when they are required and how many are required. Also includes succession planning. Workforce planning includes capabilities that sets up the rhythm for gathering current plans from business units that allows comparison of workforce growth with financial headcount constraints, critical talent segments (pivotal roles) and the availability of critical talent in the market. Workforce planning also includes the assessment of apparent gaps in diversity hiring practices",L2,,,,
,,7.1.1 Human Capital Strategy,,,,,"Assess current alignment of business strategy to human capital performance results, and define the future vision and implementation plan of leadership, workforce, and culture",L3,,,,
,,7.1.2 Organization Architecture,,,,,,L3,,,,
,,,7.1.2.1 Organization Design,,,,,L4,,,,
,,,7.1.2.2 Workplace Design,,,,,L4,,,,
,,7.1.3 Career Model Framework,,,,,"The model that forms the basis for employees to assess, plan and execute on career goals",L3,,,,
,,,7.1.3.1 Develop Competency Management Plans,,,,,L4,,,,
,,,7.1.3.2 Develop Employee Development Guidelines,,,,,L4,,,,
,,7.1.4 Organization Change Management,,,,,,L3,,,,
,,,7.1.4.1 Develop Org Change Management Approach,,,,,L4,,,,
,,,7.1.4.2 Implement Org Change Management,,,,,L4,,,,
,,7.1.5 Employee Value Proposition,,,,,"Capabilities such as employee feedback through surveys, peer organization assessment etc to assess how well the organization is functioning",L3,,,,
,,,7.1.5.1 Conduct Poll/Survey,,,,"Capabilities such as employee feedback through surveys, peer organization assessment etc to assess how well the organization is functioning",L4,,,,
,,,7.1.5.2 Poll Action Planning,,,,,L4,,,,
,,7.1.6 Assess & Steward Organization Culture ,,,,,Capability to assess and influence the culture of organization,L3,,,,
,,,7.1.6.1 Research Organization culture ,,,,,L4,,,,
,7.2 Manage Talent ,,,,,,,L2,,,,
,,7.2.1 Plan Workforce,,,,,,L3,,,,
,,,7.2.1.1 Set Staffing Vision & Goals,,,,Staffing vision and goal setting are capabilities required to synchronize with financial planning and strategic planning initiatives to include constraints and strategic imperatives to setup optimal scenarios for workforce growth. Staffing plans received from business units are consolidated and compared with other planning results.,L4,,,,
,,,,7.2.1.1.1 Gather skill requirements,,,Based on strategy and environment,L5,,,,
,,,,7.2.1.1.2 Plan employee resourcing requirements per BU/Org,,,,L5,,,,
,,,,7.2.1.1.3 Develop Workforce Strategy Models,,,,L5,,,,
,,,7.2.1.2 Model Workforce,,,,"Capabilities to define and setup foundational components like roles, jobs, competencies, organizational hierarchies and reporting relationships to enable workforce planning. Also includes capabilities to define workforce dimensions (business, region, profession, level) ",L4,,,,
,,,,7.2.1.2.1 Define Roles,,,,L5,,,,
,,,,7.2.1.2.2 Identify Pivotal Roles,,,,L5,,,,
,,,,7.2.1.2.3 Define Competencies and Metrics,,,,L5,,,,
,,,,7.2.1.2.4 Manage Job Definitions,,,,L5,,,,
,,,7.2.1.3 Analyze Workforce,,,,"Analysis for identifying Critical Skill gaps and resource utilization analysis such as quality of hires and other workforce optimization analysis based on resource utilization, quota attainment and other quantitative productivity measures by person. Also includes analysis of requisitions as part of assessment of likely achievement of workforce plans",L4,,,,
,,,,7.2.1.3.1 Analyze Workforce Key Skills Area,,,,L5,,,,
,,,,7.2.1.3.2 Analyze Positions Key Skills Area,,,,L5,,,,
,,,7.2.1.4 Plan Workspace,,,,Workforce location & housing plans,L4,,,,
,,,7.2.1.5 Manage Shifts and Schedules,,,,Define shifts and schedules for workforce,L4,,,,
,,,,7.2.1.5.1 Forecasts Shifts & Schedule,,,,L5,,,,
,,,,7.2.1.5.2 Plan Shifts & Schedule,,,,L5,,,,
,,,,,Skill-Based Scheduling,,,n/a,,,,
,,,,,Volume Based Scheduling,,,n/a,,,,
,,,,,Multi-Site Scheduling,,,n/a,,,,
,,,,7.2.1.5.3 Approve Shifts & Schedule,,,,L5,,,,
,,,,7.2.1.5.4 Track Shifts & Schedule,,,,L5,,,,
,,,,7.2.1.5.5 Trade Shifts & Schedule,,,,L5,,,,
,,,,,Bid Shifts & Schedules,,,n/a,,,,
,,,,7.2.1.5.6 Dispatch Management,,,,L5,,,,
,,,7.2.1.6 Administer Workforce Planning,,,,Includes administrative functions to support workforce planning. This capability ensures Workforce Plans reflect reality in major US countries; Provide joint HR finance workforce view to HRLT and FLT; Provide joint HR finance workforce view to HRLT and FLT; Connect with gap analysis for partner+ positions; Supplement workforce plans with internal activity estimates,L4,,,,
,,"7.2.2 Source, Recruit, Select & On-board Staff",,,,,"The business capabilities needed to fulfill l the staffing needs of the organization based on the workforce plans. This includes creating job postings, advertising, searching for candidates, interviewing, selecting of Full time employees, contingent staff and interns. On-boarding includes capabilities required to on-board new hires as well as employees transitioning to a new role.",L3,,,,
,,,7.2.2.1 Develop Sourcing Strategy,,,,"Identifying sources for the right set of internal external candidates for fulfilling the workforce requirements. Strategy to define where and how candidates will be solicited from. Includes sourcing strategies such as mobilizing employee referral program, pursuing candidate leads, ability to attract top talent",L4,,,,
,,,,7.2.2.1.1 Align Staffing Plan to workforce plan,,,,L5,,,,
,,,,7.2.2.1.2 Identify/Create Candidate Bank,,,,L5,,,,
,,,,7.2.2.1.3 Implement Employee Referrals,,,,L5,,,,
,,,,7.2.2.1.4 Implement Lead pursuit,,,,L5,,,,
,,,7.2.2.2 Create and Develop Employee Requisitions,,,,"Includes requisition creation, posting advertising",L4,,,,
,,,,7.2.2.2.1 Develop and Open Staffing Requisitions,,,,L5,,,,
,,,,7.2.2.2.2 Request Staffing Requisitions,,,Capabilities for  running various recruiting events and campaign,L5,,,,
,,,,7.2.2.2.3 Approve Staffing Requisitions,,,,L5,,,,
,,,,7.2.2.2.4 Administer Staffing Requisitions,,,Changes and updates to requisitions,L5,,,,
,,,,7.2.2.2.5 Develop Job Description,,,,L5,,,,
,,,,7.2.2.2.6 Post Jobs/Job Descriptions to Internal and External job posting web sites,,,,L5,,,,
,,,,7.2.2.2.7 Manage Internal and External job posting web sites,,,,L5,,,,
,,,7.2.2.3 Conduct Recruiting Campaign,,,,,L4,,,,
,,,,7.2.2.3.1 Determine Recruitment Methods,,,,L5,,,,
,,,,7.2.2.3.2 Perform Recruiting Events,,,Capabilities for  running various recruiting events and campaign,L5,,,,
,,,7.2.2.4 Manage Recruiting,,,,"Includes interviewer management, providing tools (including training, interview questions etc) for interviewers and job applicants such as online application, applicant tracking. Capabilities to schedule screening, onsite interviewing, reference checking, background checking and making online job offer packets. Also includes candidate communications and gathering of feedback from interviewers and job applicants about the interviewing process.",L4,,,,
,,,,7.2.2.4.1 Develop Interview Questionnaire & Techniques,,,,L5,,,,
,,,,7.2.2.4.2 Interview Candidates,,,,L5,,,,
,,,,7.2.2.4.3 Track Interviewer,,,,L5,,,,
,,,,7.2.2.4.4 Track Candidates,,,,L5,,,,
,,,,,7.2.4.4.1 Create Applicant Record,,,n/a,,,,
,,,,,7.2.4.4.2 Manage/Track Applicant data,,,n/a,,,,
,,,,,7.2.4.4.3 Archive and retain records,,,n/a,,,,
,,,,7.2.2.4.5 Process Job Applications,,,,L5,,,,
,,,,7.2.2.4.6 Search Candidate Databank,,,,L5,,,,
,,,,7.2.2.4.7 Screen Candidate,,,,L5,,,,
,,,,7.2.2.4.8 Select Candidate,,,,L5,,,,
,,,,7.2.2.4.9 Offer and Close out,,,,L5,,,,
,,,,,7.2.4.9.1 Capture Offer Details,,,n/a,,,,
,,,,,7.2.4.9.2 Enable offer detail negotiation between Staffing and Hiring Managers,,,n/a,,,,
,,,,,7.2.4.9.3 Create Offer Letter (U.S.),,,n/a,,,,
,,,,,7.2.4.9.4 Create Offer Letter (International),,,n/a,,,,
,,,,,7.2.4.9.5 Fill and Close Req,,,n/a,,,,
,,,,7.2.2.4.10 Check Applicant Reference,,,,L5,,,,
,,,,7.2.2.4.11 Check Applicant Background,,,,L5,,,,
,,,,7.2.2.4.12 Collect and Manage Hiring Manager Feedback,,,,L5,,,,
,,,,7.2.2.4.13 Collect and Manage Candidate Feedback,,,,L5,,,,
,,,7.2.2.5 Manage Executive Staff Recruitment,,,,Recruitment management capabilities targeted at hiring executive staff. Executive staff as the recruiting procedure is significantly different than normal employee recruiting process. This recruiting involves some type of relationship management capabilities and identifying and acting on potential leads,L4,,,,
,,,7.2.2.6 Manage Contingent Staff Recruitment,,,,"Recruitment management capabilities required to hire contingent staff. For legal reasons, contingent staff hiring need to be handled differently than employees",L4,,,,
,,,7.2.2.7 Manage College Recruitment,,,,Capabilities that are unique to recruiting from colleges around the world,L4,,,,
,,,7.2.2.8 Manage Intern Recruitment,,,,Recruitment capabilities targeted at interns,L4,,,,
,,,7.2.2.9 Manage Internal Transfer,,,,Capability to support the processes required to manage and enable internal transfers of employees from one job to another,L4,,,,
,,,7.2.2.10 Manage New Hire Orientation,,,,Capabilities to plan and mange on-boarding new hires to the organization. The new hires may be people new to the company or contingent or interns transitioning as full term employees,L4,,,,
,,,7.2.2.11 Manage On-boarding,,,,Includes program management and design and creation of content for on-boarding and gathering and analyzing the feedback from the on-boarding program,L4,,,,
,,,,7.2.2.11.1 Create/Maintain on-boarding programs,,,,L5,,,,
,,,,7.2.2.11.2 Create On-boarding roadmaps,,,,L5,,,,
,,,,7.2.2.11.3 Design and Develop On-boarding content,,,,L5,,,,
,,,,7.2.2.11.4 Manage On-boarding Senior Level Employees,,,,L5,,,,
,,,,7.2.2.11.5 Survey On-boarding Experience,,,,L5,,,,
,,,,7.2.2.11.6 Assess On-boarding Experience,,,,L5,,,,
,,,,7.2.2.11.7 On-board Contingent Worker,,,,L5,,,,
,,,"7.2.2.12 Administer Recruiting, Selection & On-boarding",,,,"Various administrative functions related to recruitment, selection and on-boarding",L4,,,,
,,7.2.3 Career Planning and Development,,,,,"Capabilities required to grow the employees by identifying and supporting the development needs and enabling the employees to achieve their career aspirations. Capabilities include defining the career path models, tools to assess, plan and execute on career aspirations",L3,,,,
,,,7.2.3.1 Create and Manage Development Plan,,,,Capabilities to support the creation and execution of a development plan for the employees to achieve their career goals,L4,,,,
,,,,7.2.3.1.1 Develop Career Plans,,,,L5,,,,
,,,,7.2.3.1.2 Assign Career Stage Profile,,,,L5,,,,
,,,,7.2.3.1.3 Set Career Path and Objectives,,,,L5,,,,
,,,7.2.3.2 Assess Career Development,,,,Capabilities to assess the development needs of the employees based on career goals,L4,,,,
,,,,7.2.3.2.1 Conduct Mid-year Career Discussions,,,,L5,,,,
,,,,7.2.3.2.2 Manage Employee Skills Development,,,,L5,,,,
,,,7.2.3.3 Mentoring & Coaching,,,,A specific method for developing the career by enabling employees to take advantage of mentors within the organization,L4,,,,
,,,,7.2.3.3.1 Create Mentoring Strategy,,,,L5,,,,
,,,,7.2.3.3.2 Assign Mentor Coach,,,,L5,,,,
,,,7.2.3.4 Identify High-Potential Employees,,,,Capabilities to identify employees that have high potential for developing into senior leaders,L4,,,,
,,,,7.2.3.4.1 Define High-Potential Criteria,,,,L5,,,,
,,,,7.2.3.4.2 Allocate Potential Indicator,,,,L5,,,,
,,,,7.2.3.4.3 Audit High-Potential List,,,,L5,,,,
,,,,7.2.3.4.4 Track High-Potential Talent,,,,L5,,,,
,,,7.2.3.5 Administer Career Planning & Development,,,,Various administrative functions related to career planning and development,L4,,,,
,,7.2.4 Succession Planning,,,,,"Identifying and prepare qualifying employees through mentoring, training and job rotation, to success key players (i.e. top level management) in the organization when their terms end",L3,,,,
,,,7.2.4.1 Define High-Potential Criteria,,,,,L4,,,,
,,,7.2.4.2 Define a High-Potential List,,,,,L4,,,,
,,,7.2.4.3 Track and manage High-Potential Talent,,,,,L4,,,,
,,7.2.5 Learning & Readiness,,,,,"Capabilities required to execute on the workforce learning training needs. This includes the creation of learning roadmaps and plans by assessing the learning and readiness needs, creating and maintaining training contents, tools for executing training programs. ",L3,,,,
,,,7.2.5.1 Develop Training Plan,,,,This includes the planning to determine what type of training needs to be created for readying the workforce for a new role or to support new products or services,L4,,,,
,,,,7.2.5.1.1 Assess Training Needs,,,,L5,,,,
,,,,7.2.5.1.2 Develop and Maintain Employee Training Programs,,,,L5,,,,
,,,,7.2.5.1.3 Manage Competency and skills profile,,,,L5,,,,
,,,7.2.5.2 Create/Maintain Learning Roadmaps,,,,"Includes the creation of learning roadmaps, prescribing specific training based on roles",L4,,,,
,,,,7.2.5.2.1 Prescribe Training,,,,L5,,,,
,,,7.2.5.3 Manage Curriculum,,,,Capabilities for managing the curriculum developed from training plans,L4,,,,
,,,7.2.5.4 Manage Course Catalog & Content,,,,"Includes capabilities for course templates, content repository and publishing of content to support training",L4,,,,
,,,,7.2.5.4.1 Manage Course Template,,,,L5,,,,
,,,,7.2.5.4.2 Manage Course Recourses,,,,L5,,,,
,,,,7.2.5.4.3 Manage Course Catalog,,,,L5,,,,
,,,,7.2.5.4.4 Course Content Repository,,,,L5,,,,
,,,,7.2.5.4.5 Publish Course Content,,,,L5,,,,
,,,7.2.5.5 Deliver Course,,,,"Capabilities for delivering courses though various channels such as online and class room training  and managing scheduling of training and instructors and registration capabilities such as course calendar, registration confirmation, reminder, wait lists management etc. Also includes capabilities required to evaluate trainees and for trainees to track the status progress of courses",L4,,,,
,,,,7.2.5.5.1 Deliver Online Training,,,,L5,,,,
,,,,7.2.5.5.2 Deliver Classroom Training,,,,L5,,,,
,,,,7.2.5.5.3 Manage Training Schedule,,,,L5,,,,
,,,,7.2.5.5.4 Schedule Instructor,,,,L5,,,,
,,,,7.2.5.5.5 Manage Course Registration,,,,L5,,,,
,,,,7.2.5.5.6 Manage Waiting Lists,,,,L5,,,,
,,,,7.2.5.5.7 Send Registration Confirmation,,,,L5,,,,
,,,,7.2.5.5.8 Manage Registration Calendar,,,,L5,,,,
,,,,7.2.5.5.9 Send Registration Reminder,,,,L5,,,,
,,,,7.2.5.5.10 Track Training Status,,,,L5,,,,
,,,7.2.5.6 Manage Training Transcripts,,,,Capability for managing the training transcripts in repositories that can be accessed by trainees or their managers or other relevant personnel. Transcript may include certification information if applicable. Transcript management includes creation of any analytical reports such as score cards.,L4,,,,
,,,,7.2.5.6.1 Manage Transcript Repository,,,,L5,,,,
,,,,7.2.5.6.2 Create and Manage Training Scorecards,,,,L5,,,,
,,,7.2.5.7 Evaluate Training,,,,"Capability for evaluating the quality of course, instructors, learning medium etc. ",L4,,,,
,,,,7.2.5.7.1 Evaluate Course,,,,L5,,,,
,,,,7.2.5.7.2 Evaluate Instructor,,,,L5,,,,
,,,,7.2.5.7.3 Evaluate Trainee,,,,L5,,,,
,,,7.2.5.8 Administer Learning & Development,,,,Various administrative functions related to learning & development,L4,,,,
,,,,7.2.5.8.1 Allocate Training Costs,,,,L5,,,,
,,7.2.6 Employee Performance Review,,,,,Capabilities to create a model for reviewing the on the job performance of employees and evaluating based on that. This includes setting yearly commitments and managing the promotions,L3,,,,
,,,7.2.6.1 Align Performance Development Plan  to Career Model Framework,,,,,L4,,,,
,,,7.2.6.2 Define Individual and Group Evaluation Rating Structures,,,,,L4,,,,
,,,7.2.6.3 Set Employee Commitments,,,,Capability offering employees to set their performance goals and setting expectation on what deliverables will be produced,L4,,,,
,,,7.2.6.4 Review Employee Performance,,,,Capability for conducting the review and evaluation of employee on the job performance. Includes capability to record this information,L4,,,,
,,,,7.2.6.4.1 Conduct Merit Review,,,,L5,,,,
,,,,7.2.6.4.2 Multi-Rater Review,,,,L5,,,,
,,,7.2.6.5 Manage Promotion and Demotion,,,,Capability required to manage and administer employee promotions,L4,,,,
,,,7.2.6.6 Administer Employee Performance Review,,,,Various administrative functions related to Employee Performance Review,L4,,,,
,,7.2.7 Compensation and Benefits,,,,,"This capability addresses the compensation model such as pay grades, merit award criteria, stock awards, bonus awards etc and other compensation methods",L3,,,,
,,,7.2.7.1 Develop Salary Compensation Structure,,,,"Ability to have different pay grades for employees and adjust it based on market conditions, organizational needs etc",L4,,,,
,,,,7.2.7.1.1 Manage Pay Grade,,,,L5,,,,
,,,,,7.6.1.1.1 Manage Pay Grade - Annual Review,,,n/a,,,,
,,,,,7.6.1.1.2 Manage Pay Grade - Out of Cycle,,,n/a,,,,
,,,7.2.7.2 Develop Incentive/Commission Compensation Plans,,,,,L4,,,,
,,,7.2.7.3 Manage Compensation Plan,,,,,L4,,,,
,,,,7.2.7.3.1 Perform Competitive Analysis of Compensation,,,,L5,,,,
,,,,7.2.7.3.2 Analyze Employee Compensation,,,,L5,,,,
,,,,,7.6.2.2.1 Analyze Employee Compensation - Annual Review,,,n/a,,,,
,,,,,7.6.2.2.2 Analyze Employee Compensation - Out of Cycle,,,n/a,,,,
,,,,7.2.7.3.3 Develop Incentive/Commission Compensation Plans,,,,L5,,,,
,,,,,4.6.3.1 Set Incentive/Commission Goals,,,n/a,,,,
,,,,7.2.7.3.4 Manage Split Incentive/Commission ,,,,L5,,,,
,,,,7.2.7.3.5 Calculate Incentive/Commission ,,,,L5,,,,
,,,,7.2.7.3.6 Pay Incentive/Commission ,,,,L5,,,,
,,,,7.2.7.3.7 Track Incentive/Commission ,,,,L5,,,,
,,,,7.2.7.3.8 Report Incentive/Commission ,,,,L5,,,,
,,,,7.2.7.3.9 Integrate Incentive/Commission with HR & Financial Systems,,,,L5,,,,
,,,7.2.7.4 Manage Performance/Potential Reward,,,,Ability to manage performance potential rewards,L4,,,,
,,,7.2.7.5 Manage Stock Awards & Options Award,,,,Ability to manage stock awards and options,L4,,,,
,,,7.2.7.6 Manage Bonuses and Profit Sharing Award,,,,Ability to manage bonus and profit sharing pay outs,L4,,,,
,,,7.2.7.7 Reward and Motivate Employees,,,,,L4,,,,
,,,7.2.7.8 Administer Employee Compensation,,,,Various administrative functions related to employee compensation administration,L4,,,,
,,,7.2.7.9 Benefits Plan Design,,,,"Capability includes modeling, plan evaluations, benchmarks, roi determination, coverage limitations etc",L4,,,,
,,,,7.2.7.9.1 Benchmark Benefits Competitive Landscape,,,"Analyzes benefit trends from competitors and the marketplace. Should include a description of  benefit offerings, contribution strategies, plan design, etc.",L5,,,,
,,,,7.2.7.9.2 Define Benefit Plan Offerings,,,,L5,,,,
,,,,7.2.7.9.3 Define Eligibility Requirements,,,,L5,,,,
,,,,7.2.7.9.4 Define Plan Premiums and Contributions,,,,L5,,,,
,,,,7.2.7.9.5 Define Coverage Limitations,,,,L5,,,,
,,,,7.2.7.9.6 Define Default Enrollment Elections,,,,L5,,,,
,,,,7.2.7.9.7 Define Benefit Termination Procedures,,,,L5,,,,
,,7.2.8 Manager & Leadership Development,,,,,Capabilities to design programs to improve leadership capabilities,L3,,,,
,,,7.2.8.1 Assess Manager & Leadership Competency,,,,,L4,,,,
,,,7.2.8.2 Develop Managers and Leaders,,,,,L4,,,,
,7.3 HR Services and Administration,,,,,,,L2,,,,
,,7.3.1 Benefits Services and Administration,,,,,"Ability to design cost effective benefit plans for employees and dependents and managing of the benefit plans. Includes design of health & wellness programs, life insurance, employee assistance, stock purchase plans, flexible spending account etc. Also includes managing the annual enrollment and other benefit related events",L3,,,,
,,,7.3.1.1 Manage Benefits Vendors,,,,Capability to manage various vendors who provide benefit solutions. This includes required data exchange on ongoing basis or for enrollment management etc,L4,,,,
,,,7.3.1.2 Manage Enrollments,,,,,L4,,,,
,,,,7.3.1.2.1 Calculate Eligibility,,,,L5,,,,
,,,,7.3.1.2.2 Communicate Benefit Offerings,,,,L5,,,,
,,,,7.3.1.2.3 Administer and Track Benefits Enrollment,,,,L5,,,,
,,,,7.3.1.2.4 Communicate Eligibility and Elections to Carriers/Vendors,,,,L5,,,,
,,,,7.3.1.2.5 Close Enrollment,,,,L5,,,,
,,,7.3.1.3 Manage Health & Wellness Benefits,,,,,L4,,,,
,,,7.3.1.4 Manage Stock options/purchase plans,,,,,L4,,,,
,,,7.3.1.5 Manage Retirement Plans,,,,,L4,,,,
,,,7.3.1.6 Manage Family/Parenting Benefits,,,,,L4,,,,
,,,7.3.1.7 Manage Misc Benefits,,,,,L4,,,,
,,,7.3.1.8 Evaluate Employee Benefits Programs,,,,,L4,,,,
,,,,7.3.1.8.1 Evaluate Benefit Plans ROI,,,,L5,,,,
,,7.3.2 Employee Services,,,,,,L3,,,,
,,,7.3.2.1 Employee Relations,,,,,L4,,,,
,,,,7.3.2.1.1 Develop and Manage Employee Communications,,,Capability for communicating various HR related matters to employees,L5,,,,
,,,7.3.2.2 Discipline & Grievances,,,,,L4,,,,
,,,,7.3.2.2.1 Manage Grievance,,,Capability to record and manage employee grievances,L5,,,,
,,,,7.3.2.2.2 Manage/Collect Employee Suggestions,,,Capability to gather feedback from employees using methods such as surveys,L5,,,,
,,,7.3.2.3 Mobility Services,,,,,L4,,,,
,,,7.3.2.4 Leave and Absenteeism Management,,,,,L4,,,,
,,,,7.3.2.4.1 Manage Employee Time off,,,"Ability to record and manage employee time off due to paid vacation, sick leave",L5,,,,
,,,,7.3.2.4.2 Manage Leave of Absence,,,,L5,,,,
,,,7.3.2.5 Health & Safety Management,,,,,L4,,,,
,,,,7.3.2.5.1 Manage Ergonomics,,,Ability to record and manage workplace ergonomic evaluation requests,L5,,,,
,,,,7.3.2.5.2 Manage On the Job Accidents,,,Ability to record and manage on the job accident and injury incidents,L5,,,,
,,,,7.3.2.5.3 Manage Safety Inspections,,,Ability to perform workplace safety inspections,L5,,,,
,,,7.3.2.6 Manage Termination,,,,"Capabilities to support voluntary or involuntary termination of employees through resignation, RIF, Acquisition, lay-offs etc and managing the exit interview",L4,,,,
,,,,7.3.2.6.1 Voluntary Employee Termination,,,,L5,,,,
,,,,7.3.2.6.2 Terminate Employee due to Acquisition,,,,L5,,,,
,,,,7.3.2.6.3 Terminate Employee due to RIF,,,,L5,,,,
,,,,7.3.2.6.4 Manage Exit Interview,,,,L5,,,,
,,,,7.3.2.6.5 Analyze Termination Restriction,,,,L5,,,,
,,,7.3.2.7 Manage Expatriates,,,,,L4,,,,
,,7.3.3 Manage Employee Information,,,,,,L3,,,,
,,,7.3.3.1 Manage HR Data and Content,,,,,L4,,,,
,,,7.3.3.2 Manage and Maintain Employee Data,,,,,L4,,,,
,,,7.3.3.3 Develop and Manage Employee Metrics,,,,,L4,,,,
,,,7.3.3.4 Administer Reporting Relationships,,,,,L4,,,,
